APP_LOG: 2025/04/11 00:44:16 logger.go:31: INFO: D:/movieMatch/project-root/movies-service/internal/jobs/fetcher.go:45 SAVED top_rated 5
APP_LOG: 2025/04/11 00:44:16 logger.go:31: INFO: D:/movieMatch/project-root/movies-service/internal/jobs/fetcher.go:29 FETCHED popular 6
APP_LOG: 2025/04/11 00:44:16 logger.go:31: INFO: D:/movieMatch/project-root/movies-service/internal/jobs/fetcher.go:45 SAVED popular 6
APP_LOG: 2025/04/11 00:44:16 logger.go:31: INFO: D:/movieMatch/project-root/movies-service/internal/jobs/fetcher.go:29 FETCHED upcoming 6
APP_LOG: 2025/04/11 00:44:16 logger.go:31: INFO: D:/movieMatch/project-root/movies-service/internal/jobs/fetcher.go:29 FETCHED now_playing 6
APP_LOG: 2025/04/11 00:44:16 logger.go:31: INFO: D:/movieMatch/project-root/movies-service/internal/jobs/fetcher.go:45 SAVED upcoming 6
APP_LOG: 2025/04/11 00:44:16 logger.go:31: INFO: D:/movieMatch/project-root/movies-service/internal/jobs/fetcher.go:45 SAVED now_playing 6
APP_LOG: 2025/04/11 00:44:16 logger.go:31: INFO: D:/movieMatch/project-root/movies-service/internal/jobs/fetcher.go:29 FETCHED top_rated 6
APP_LOG: 2025/04/11 00:44:16 logger.go:31: INFO: D:/movieMatch/project-root/movies-service/internal/jobs/fetcher.go:45 SAVED top_rated 6
APP_LOG: 2025/04/11 00:44:16 logger.go:31: INFO: D:/movieMatch/project-root/movies-service/internal/jobs/fetcher.go:29 FETCHED popular 7
APP_LOG: 2025/04/11 00:44:16 logger.go:31: INFO: D:/movieMatch/project-root/movies-service/internal/jobs/fetcher.go:29 FETCHED upcoming 7
APP_LOG: 2025/04/11 00:44:16 logger.go:31: INFO: D:/movieMatch/project-root/movies-service/internal/jobs/fetcher.go:45 SAVED popular 7
APP_LOG: 2025/04/11 00:44:16 logger.go:31: INFO: D:/movieMatch/project-root/movies-service/internal/jobs/fetcher.go:29 FETCHED now_playing 7
APP_LOG: 2025/04/11 00:44:16 logger.go:31: INFO: D:/movieMatch/project-root/movies-service/internal/jobs/fetcher.go:45 SAVED upcoming 7
APP_LOG: 2025/04/11 00:44:16 logger.go:31: INFO: D:/movieMatch/project-root/movies-service/internal/jobs/fetcher.go:45 SAVED now_playing 7
APP_LOG: 2025/04/11 00:44:16 logger.go:31: INFO: D:/movieMatch/project-root/movies-service/internal/jobs/fetcher.go:29 FETCHED top_rated 7
APP_LOG: 2025/04/11 00:44:16 logger.go:31: INFO: D:/movieMatch/project-root/movies-service/internal/jobs/fetcher.go:29 FETCHED popular 8
APP_LOG: 2025/04/11 00:44:16 logger.go:31: INFO: D:/movieMatch/project-root/movies-service/internal/jobs/fetcher.go:45 SAVED top_rated 7
APP_LOG: 2025/04/11 00:44:16 logger.go:31: INFO: D:/movieMatch/project-root/movies-service/internal/jobs/fetcher.go:45 SAVED popular 8
APP_LOG: 2025/04/11 00:44:16 logger.go:31: INFO: D:/movieMatch/project-root/movies-service/internal/jobs/fetcher.go:29 FETCHED now_playing 8
APP_LOG: 2025/04/11 00:44:16 logger.go:31: INFO: D:/movieMatch/project-root/movies-service/internal/jobs/fetcher.go:45 SAVED now_playing 8
